food,category,meal_type,ramadan_role,hydration_index,smart_swap,measure,grams,calories,protein_g,fat_g,sat_fat_g,carbs_g,fiber_g,sugars_g,sodium_mg,protein_pct,has_incomplete_name,is_extreme_portion
Custard,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",1 slice,100,203.85,5.38,8.46,7.69,26.15,0.0,26.15,150.0,10.6,False,False
Lemon meringue,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",1 slice,100,250.0,3.33,10.0,8.33,37.5,0.08,37.5,150.0,5.3,False,False
Mince,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",1 slice,100,251.85,2.22,6.67,5.93,45.93,0.52,40.0,150.0,3.5,False,False
Pumpkin Pie,"Desserts, sweets",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),1 slice,100,203.85,3.85,9.23,8.46,26.15,6.15,26.15,150.0,7.5,False,False
Puddings Sugar,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",1 cup,100,385.0,0.0,0.0,0.0,99.5,0.0,40.0,150.0,0.0,False,False
3 teaspoons sugar,"Desserts, sweets",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 T.,100,416.67,0.0,0.0,0.0,100.0,0.0,40.0,150.0,0.0,False,False
"Brown, firm-packed, dark sugar","Jams, Jellies",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,Excellent Choice (No Swap Needed),1 cup,100,370.45,0.0,0.0,0.0,95.45,0.0,60.0,15.0,0.0,False,False
Syrup,"Jams, Jellies",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,Excellent Choice (No Swap Needed),2 T.,100,250.0,0.0,0.0,0.0,62.5,0.0,60.0,15.0,0.0,False,False
table blends sugar,"Jams, Jellies",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,Excellent Choice (No Swap Needed),2 T.,100,275.0,0.0,0.0,0.0,72.5,0.0,60.0,15.0,0.0,False,False
Tapioca cream pudding,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",1 cup,100,134.0,4.0,4.0,3.6,16.8,0.0,16.8,150.0,11.9,False,False
Almonds,Seeds and Nuts,Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,607.14,18.57,54.29,40.0,18.57,2.57,4.0,10.0,12.2,False,False
roasted and salted,Seeds and Nuts,Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,627.14,18.57,57.14,44.29,18.57,2.57,4.0,300.0,11.8,False,False
Brazil nuts,Seeds and Nuts,Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,652.86,14.29,67.14,44.29,10.0,2.86,4.0,10.0,8.8,False,False
Cashews,Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,560.0,17.14,45.71,40.0,28.57,1.29,4.0,10.0,12.2,False,False
coconut sweetened,Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,548.0,2.0,40.0,38.0,52.0,4.0,4.0,10.0,1.5,False,False
Peanut butter,Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/3 cup,100,600.0,24.0,50.0,34.0,18.0,1.8,4.0,10.0,16.0,False,False
"Peanut butter, natural",Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/3 cup,100,568.0,26.0,48.0,20.0,16.0,1.8,4.0,10.0,18.3,False,False
Peanuts,Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/3 cup,100,580.0,26.0,50.0,32.0,18.0,2.4,4.0,10.0,17.9,False,False
Pecans,Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,659.62,9.62,67.31,48.08,13.46,2.12,4.04,10.0,5.8,False,False
Sesame seeds,Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,560.0,18.0,48.0,26.0,20.0,6.2,4.0,10.0,12.9,False,False
Sunflower seeds,Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,560.0,24.0,52.0,14.0,20.0,3.8,4.0,10.0,17.1,False,False
Walnuts,Seeds and Nuts,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1/2 cup,100,650.0,14.0,64.0,14.0,16.0,2.0,4.0,10.0,8.6,False,False
Beer,"Drinks,Alcohol, Beverages",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),2 cups,100,47.5,0.0,0.0,0.0,1.67,0.0,1.67,10.0,0.0,False,False
Gin,"Drinks,Alcohol, Beverages",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 oz.,100,250.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,False,False
Wines,"Drinks,Alcohol, Beverages",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1/2 cup,100,136.67,0.0,0.0,0.0,7.5,0.0,7.5,10.0,0.0,False,False
Table (12.2% alcohol),"Drinks,Alcohol, Beverages",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1/2 cup,100,83.33,0.0,0.0,0.0,4.17,0.0,4.17,10.0,0.0,False,False
Carbonated drinks Artificially sweetened,"Drinks,Alcohol, Beverages",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),12 oz.,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,False,False
Club soda,"Drinks,Alcohol, Beverages",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),12 oz.,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,False,False
Cola drinks,"Drinks,Alcohol, Beverages",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,Excellent Choice (No Swap Needed),12 oz.,100,39.6,0.0,0.0,0.0,10.98,0.0,10.0,10.0,0.0,False,False
Fruit-flavored soda,"Drinks,Alcohol, Beverages",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,Excellent Choice (No Swap Needed),12 oz.,100,46.53,0.0,0.0,0.0,12.14,0.0,10.0,10.0,0.0,False,False
Ginger ale,"Drinks,Alcohol, Beverages",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,Excellent Choice (No Swap Needed),12 oz.,100,30.35,0.0,0.0,0.0,8.09,0.0,8.09,10.0,0.0,False,False
Root beer,"Drinks,Alcohol, Beverages",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,Excellent Choice (No Swap Needed),12 oz.,100,40.46,0.0,0.0,0.0,10.12,0.0,10.0,10.0,0.0,False,False
Coffee,"Drinks,Alcohol, Beverages",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,1.3,0.0,0.0,0.0,0.43,0.0,0.0,10.0,0.0,False,False
Tea,"Drinks,Alcohol, Beverages",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,1.74,0.0,0.0,0.0,0.43,0.0,0.0,10.0,0.0,False,False
apple_pie,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,300.0,2.5,12.5,6.25,45.0,2.5,40.0,150.0,3.3,False,False
apple_pie,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,300.0,3.0,12.0,6.0,45.0,2.0,40.0,150.0,4.0,False,False
apple_pie,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,300.0,3.33,11.67,5.83,45.0,2.5,40.0,150.0,4.4,False,False
apple_pie,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,300.0,3.33,12.0,6.0,45.33,2.0,40.0,150.0,4.4,False,False
apple_pie,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,300.0,3.0,12.0,6.0,45.0,2.0,40.0,150.0,4.0,False,False
baby_back_ribs,"Meat, Poultry",Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,360.0,25.33,22.0,8.8,10.0,0.67,0.0,800.0,28.1,False,False
baby_back_ribs,"Meat, Poultry",Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,360.0,25.0,22.0,8.8,10.0,1.0,0.0,800.0,27.8,False,False
baby_back_ribs,"Meat, Poultry",Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,360.0,25.2,22.0,8.8,10.0,0.8,0.0,800.0,28.0,False,False
baby_back_ribs,"Meat, Poultry",Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,360.0,25.0,22.0,8.8,10.0,1.0,0.0,800.0,27.8,False,False
baby_back_ribs,"Meat, Poultry",Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,360.0,25.14,22.0,8.8,10.0,0.86,0.0,800.0,27.9,False,False
baklava,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,330.0,6.0,16.0,8.0,40.0,2.0,40.0,150.0,7.3,False,False
baklava,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,330.0,5.71,15.71,7.86,40.0,1.43,40.0,150.0,6.9,False,False
baklava,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,330.0,6.0,16.0,8.0,40.0,2.0,40.0,150.0,7.3,False,False
baklava,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,330.0,5.83,15.83,7.92,40.0,1.67,40.0,150.0,7.1,False,False
baklava,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,330.0,6.0,16.0,8.0,40.0,2.0,40.0,150.0,7.3,False,False
beef_carpaccio,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,20.0,12.0,4.8,1.0,0.0,0.0,60.0,40.0,False,False
beef_carpaccio,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,20.0,12.0,4.8,1.33,0.0,0.0,60.0,40.0,False,False
beef_carpaccio,"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.5,0.0,0.0,60.0,40.0,False,False
beef_carpaccio,"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.6,0.0,0.0,60.0,40.0,False,False
beef_carpaccio,"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,200.0,20.0,12.0,4.8,1.67,0.0,0.0,60.0,40.0,False,False
beef_tartare,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beef_tartare,"Meat, Poultry",Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.33,15.33,6.13,2.0,0.0,0.0,60.0,40.5,False,False
beef_tartare,"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beef_tartare,"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.2,15.2,6.08,2.0,0.0,0.0,60.0,40.3,False,False
beef_tartare,"Meat, Poultry",Main Course,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,Unknown,100,250.0,25.0,15.0,6.0,2.0,0.0,0.0,60.0,40.0,False,False
beet_salad,Vegetables,Snack / Appetizer,Balanced,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.0,2.0,0.3,12.0,3.0,3.0,15.0,15.0,False,False
beet_salad,Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.33,2.0,0.27,12.0,3.33,3.0,15.0,16.7,False,False
beet_salad,Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.0,2.0,0.3,12.0,3.0,3.0,15.0,15.0,False,False
beet_salad,Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.2,2.0,0.32,12.0,3.2,3.0,15.0,16.0,False,False
beet_salad,Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,80.0,3.33,2.0,0.3,12.0,3.0,3.0,15.0,16.7,False,False
beignets,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
beignets,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,5.71,20.0,10.0,50.0,1.43,40.0,150.0,5.7,False,False
beignets,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
beignets,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,5.83,20.0,10.0,50.0,1.67,40.0,150.0,5.8,False,False
beignets,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,6.0,20.0,10.0,50.0,2.0,40.0,150.0,6.0,False,False
bibimbap,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.67,5.0,400.0,13.3,False,False
bibimbap,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.75,5.0,400.0,13.3,False,False
bibimbap,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.6,5.0,400.0,13.3,False,False
bibimbap,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.67,5.0,400.0,13.3,False,False
bibimbap,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,150.0,5.0,4.0,1.4,20.0,1.71,5.0,400.0,13.3,False,False
bread_pudding,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
bread_pudding,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,5.0,35.33,2.0,35.33,150.0,9.6,False,False
bread_pudding,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
bread_pudding,"Desserts, sweets",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,250.0,6.0,10.0,5.0,35.2,2.0,35.2,150.0,9.6,False,False
bread_pudding,"Desserts, sweets",Suhoor,Slow-Release Energy,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,250.0,6.0,10.0,5.0,35.0,2.0,35.0,150.0,9.6,False,False
breakfast_burrito,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.5,2.6,20.0,2.5,5.0,400.0,20.0,False,False
breakfast_burrito,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.6,2.64,20.0,2.4,5.0,400.0,20.0,False,False
breakfast_burrito,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.67,2.67,20.0,2.33,5.0,400.0,20.0,False,False
breakfast_burrito,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.43,2.6,20.0,2.29,5.0,400.0,20.0,False,False
breakfast_burrito,"Breads, cereals, fastfood,grains",Suhoor,Slow-Release Energy,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,10.0,7.5,2.62,20.0,2.5,5.0,400.0,20.0,False,False
bruschetta,"Breads, cereals, fastfood,grains",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,5.0,400.0,12.0,False,False
bruschetta,"Breads, cereals, fastfood,grains",Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,5.71,8.57,3.0,30.0,1.43,5.0,400.0,11.4,False,False
bruschetta,"Breads, cereals, fastfood,grains",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,5.0,400.0,12.0,False,False
bruschetta,"Breads, cereals, fastfood,grains",Flexible,Balanced,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,5.83,8.33,2.92,30.0,1.67,5.0,400.0,11.7,False,False
bruschetta,"Breads, cereals, fastfood,grains",Flexible,Balanced,Dehydrating,Unsalted Nuts or Baked veggies,Unknown,100,200.0,6.0,8.0,2.8,30.0,2.0,5.0,400.0,12.0,False,False
caesar_salad,Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,150.0,5.0,10.0,1.5,7.5,1.5,3.0,15.0,13.3,False,False
caesar_salad,Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,150.0,5.2,10.0,1.52,7.6,1.6,3.0,15.0,13.9,False,False
caesar_salad,Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.0,10.0,1.5,7.67,1.67,3.0,15.0,13.3,False,False
caesar_salad,Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.14,10.0,1.49,7.43,1.71,3.0,15.0,13.7,False,False
caesar_salad,Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,5.0,10.0,1.5,7.5,1.75,3.0,15.0,13.3,False,False
cannoli,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
cannoli,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.57,20.0,10.0,50.0,1.43,40.0,150.0,8.6,False,False
cannoli,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
cannoli,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.33,20.0,10.0,50.0,1.67,40.0,150.0,8.3,False,False
cannoli,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,400.0,8.0,20.0,10.0,50.0,2.0,40.0,150.0,8.0,False,False
caprese_salad,Vegetables,Flexible,Balanced,High,Excellent Choice (No Swap Needed),Unknown,100,133.33,5.33,10.0,1.47,6.67,1.33,3.0,15.0,16.0,False,False
caprese_salad,Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,133.5,5.5,10.0,1.5,6.5,1.5,3.0,15.0,16.5,False,False
caprese_salad,Vegetables,Flexible,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,Unknown,100,133.2,5.2,10.0,1.52,6.8,1.6,3.0,15.0,15.6,False,False
caprese_salad,Vegetables,Suhoor,Slow-Release Energy,High,Excellent Choice (No Swap Needed),Unknown,100,133.33,5.33,10.0,1.5,6.67,1.67,3.0,15.0,16.0,False,False
caprese_salad,Vegetables,Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.43,5.43,10.0,1.49,6.57,1.71,3.0,15.0,16.3,False,False
carrot_cake,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
carrot_cake,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,9.0,45.33,2.0,40.0,150.0,4.6,False,False
carrot_cake,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
carrot_cake,"Desserts, sweets",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,350.0,4.0,18.0,9.0,45.2,2.0,40.0,150.0,4.6,False,False
carrot_cake,"Desserts, sweets",Suhoor,Slow-Release Energy,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,350.0,4.0,18.0,9.0,45.0,2.0,40.0,150.0,4.6,False,False
ceviche,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.33,13.33,3.33,0.67,6.67,1.33,0.0,80.0,40.0,False,False
ceviche,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.5,13.5,3.5,0.7,6.5,1.5,0.0,80.0,40.4,False,False
ceviche,"Fish, Seafood",Flexible,Lean Protein / Muscle Recovery,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.2,13.2,3.2,0.64,6.8,1.6,0.0,80.0,39.6,False,False
ceviche,"Fish, Seafood",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.33,13.33,3.33,0.67,6.67,1.67,0.0,80.0,40.0,False,False
ceviche,"Fish, Seafood",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,133.43,13.43,3.43,0.69,6.57,1.71,0.0,80.0,40.3,False,False
cheese_plate,Dairy products,Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,300.0,13.33,23.33,14.0,3.33,0.0,1.0,600.0,17.8,False,False
cheese_plate,Dairy products,Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,300.0,13.5,23.5,14.1,3.5,0.0,1.0,600.0,18.0,False,False
cheese_plate,Dairy products,Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,300.0,13.2,23.2,13.92,3.6,0.0,1.0,600.0,17.6,False,False
cheese_plate,Dairy products,Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,300.0,13.33,23.33,14.0,3.33,0.0,1.0,600.0,17.8,False,False
cheese_plate,Dairy products,Main Course,Heavy Meal / Craving,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,300.0,13.43,23.43,14.06,3.43,0.0,1.0,600.0,17.9,False,False
cheesecake,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,6.0,22.0,11.0,30.0,1.0,30.0,150.0,6.9,False,False
cheesecake,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,6.0,22.0,11.0,30.0,1.33,30.0,150.0,6.9,False,False
cheesecake,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,6.0,22.0,11.0,30.0,1.0,30.0,150.0,6.9,False,False
cheesecake,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,"Fresh Fruits (e.g., Watermelon or Orange)",Unknown,100,350.0,6.0,22.0,11.0,30.0,1.2,30.0,150.0,6.9,False,False
cheesecake,"Desserts, sweets",Iftar Starter / Dessert,Quick Energy / Sugar Spike,Dehydrating,Drink 2 extra glasses of water with this,Unknown,100,350.0,6.0,22.0,11.0,30.0,1.33,30.0,150.0,6.9,False,False
chicken_curry,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,10.0,7.5,3.0,7.5,1.5,0.0,60.0,26.7,False,False
chicken_curry,"Meat, Poultry",Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,10.0,7.6,3.04,7.6,1.6,0.0,60.0,26.7,False,False
chicken_curry,"Meat, Poultry",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,10.0,7.67,3.07,7.67,1.67,0.0,60.0,26.7,False,False
chicken_curry,"Meat, Poultry",Suhoor,Slow-Release Energy,Neutral,Excellent Choice (No Swap Needed),Unknown,100,150.0,10.0,7.43,2.97,7.43,1.71,0.0,60.0,26.7,False,False
